complaint_text,category,urgency_score,population_impact,vulnerability_score
No proper sanitation in government housing colony individual issue,Housing,0.6,0.2,0
Dog menace in residential area affecting entire area,Other,0.6,0.9,0
Load shedding without prior notice during exams local residents - particularly affecting slum dwellers,Electricity,0.6,0.5,0.7
Ambulance service not responding to calls,Health,0.9,0.9,0
Medical waste dumped in residential area 50+ households,Sanitation,0.9,0.9,0
Ration card application pending for 5 months affecting one family - particularly affecting kids,Welfare,0.6,0.2,0.7
Illegal encroachment on public housing land affecting multiple families,Housing,0.6,0.5,0
Electricity meter showing wrong readings - particularly affecting children,Electricity,0.3,0.2,0.7
Ration card application pending for 4 months - particularly affecting kids,Welfare,0.6,0.2,0.7
Open defecation problem in Sardar Patel Street - particularly affecting pregnant women,Sanitation,0.9,0.2,0.9
NREGA work not available in village complete ward - particularly affecting orphans,Welfare,0.6,0.9,0.8
"Speed breaker damaged, need repair local residents",Roads,0.3,0.5,0
Illegal water connection in MG Road local residents,Water,0.6,0.5,0
Occupancy certificate not issued for 10 months affecting multiple families,Housing,0.3,0.5,0
Ration card application pending for 6 months affecting one family,Welfare,0.6,0.2,0
Sewage overflowing on main street several households,Sanitation,0.9,0.5,0
Fire safety measures missing in old apartments - particularly affecting school children,Housing,0.9,0.2,0.7
Load shedding without prior notice during exams all residents,Electricity,0.6,0.9,0
Garbage not collected for 7 days in Lal Bahadur Area entire community - particularly affecting elderly people,Sanitation,0.9,0.9,0.8
Medicines not available in government hospital single household - particularly affecting orphans,Health,0.9,0.2,0.8
Road is completely damaged and needs resurfacing affecting multiple families - particularly affecting pregnant women,Roads,0.6,0.5,0.9
Illegal water connection in Nehru Colony local residents,Water,0.6,0.5,0
Pension payment delayed for 9 months,Welfare,0.9,0.2,0
Pension payment delayed for 4 months multiple streets - particularly affecting old age people,Welfare,0.9,0.9,0.8
Garbage dump near residential area causing health issues,Health,0.9,0.5,0
Sewage overflowing on main street affecting multiple families,Sanitation,0.9,0.5,0
Illegal encroachment on public housing land whole colony,Housing,0.6,0.9,0
Water connection not provided to new house entire community - particularly affecting pregnant women,Water,0.3,0.9,0.9
"Stray dogs increasing, need vaccination drive affecting multiple families - particularly affecting below poverty line",Health,0.6,0.5,0.8
Housing subsidy application not processed affecting one family - particularly affecting kids,Housing,0.3,0.2,0.7
High voltage fluctuation damaging appliances - particularly affecting orphans,Electricity,0.6,0.5,0.8
Relief funds not distributed to flood victims,Welfare,0.9,0.2,0
No electricity for 9 days in Subhash Circle,Electricity,0.9,0.5,0
Large pothole on Main Road causing accidents,Roads,0.9,0.5,0
Medicines not available in government hospital affecting one family,Health,0.9,0.2,0
Scholarship amount not credited to students single household,Welfare,0.6,0.2,0
Road is completely damaged and needs resurfacing affecting one family,Roads,0.6,0.2,0
Electric pole is broken and hanging dangerously affecting multiple families,Electricity,0.9,0.5,0
Illegal parking blocking narrow road affecting one family - particularly affecting widows,Roads,0.6,0.2,0.8
Encroachment on public park by vendors,Other,0.3,0.5,0
Housing subsidy application not processed several households,Housing,0.3,0.5,0
Property tax assessment is incorrect,Other,0.3,0.9,0
Street light transformer not working affecting one family - particularly affecting disabled persons,Electricity,0.6,0.2,0.9
Low water pressure affecting 181 households,Water,0.6,0.9,0
